C00034889 | Garcinia merguensis
C00034889 | Garcinia nigrolineata
C00034889 | Garcinia oblongifolia
C00034889 | Garcinia staudtii
C00034926 | Garcinia merguensis
C00035077 | Garcinia multiflora
C00035189 | Garcinia mangostana
C00035249 | Garcinia polyantha Oliv.
C00035250 | Garcinia polyantha Oliv.
C00035255 | Garcinia dulcis
C00035277 | Garcinia cowa
C00035279 | Garcinia cowa
C00035280 | Garcinia cowa
C00035281 | Garcinia dulcis
C00035295 | Garcinia dulcis
C00035296 | Garcinia dulcis
C00035297 | Garcinia dulcis
C00035298 | Garcinia dulcis
C00035299 | Garcinia dulcis
C00035299 | Garcinia mangostana
C00035323 | Garcinia griffithii
C00035328 | Garcinia dulcis
C00035339 | Garcinia dulcis
C00035339 | Garcinia mangostana
C00035788 | Garcinia virgata
C00035833 | Garcinia griffithii
C00035833 | Garcinia virgata
C00035895 | Garcinia virgata
C00036131 | Garcinia nigrolineata
C00036164 | Garcinia nigrolineata
C00036176 | Garcinia nigrolineata
C00036177 | Garcinia nigrolineata
C00036178 | Garcinia nigrolineata
C00036179 | Garcinia nigrolineata
C00036180 | Garcinia nigrolineata
C00036181 | Garcinia nigrolineata
C00036182 | Garcinia nigrolineata
C00036183 | Garcinia nigrolineata
C00036184 | Garcinia nigrolineata
C00036232 | Garcinia nigrolineata
C00036324 | Garcinia mangostana
C00036325 | Garcinia mangostana
C00036371 | Garcinia subelliptica
C00036374 | Garcinia merguensis
C00036389 | Garcinia mangostana
C00036405 | Garcinia vilersiana
C00036438 | Garcinia mangostana
C00036442 | Garcinia subelliptica
C00036445 | Garcinia vilersiana
C00036466 | Garcinia subelliptica
C00036520 | Garcinia oblongifolia
C00036840 | Garcinia mangostana
C00037076 | Garcinia dulcis
C00037077 | Garcinia dulcis
C00037078 | Garcinia dulcis
C00037159 | Garcinia forbesii
C00037159 | Garcinia nigrolineata
C00037184 | Garcinia linii
C00037186 | Garcinia vilersiana
C00037192 | Garcinia mangostana
C00037326 | Garcinia nervosa
C00037326 | Garcinia polyantha
C00037326 | Garcinia pyrifera
C00037327 | Garcinia nervosa
C00037327 | Garcinia polyantha
C00037327 | Garcinia pyrifera
C00037343 | Garcinia polyantha
C00037494 | Garcinia merguensis
C00037517 | Garcinia merguensis
C00037532 | Garcinia pseudoguttifera
C00037549 | Garcinia nervosa
C00037549 | Garcinia polyantha
C00037549 | Garcinia pyrifera
C00037695 | Garcinia pseudoguttifera
C00037708 | Garcinia densivenia
C00037708 | Garcinia forbesii
C00037728 | Garcinia merguensis
C00037729 | Garcinia polyantha
C00037856 | Garcinia subelliptica
C00037857 | Garcinia vilersiana
C00037858 | Garcinia dulcis
C00037858 | Garcinia subelliptica
C00037859 | Garcinia subelliptica
C00037860 | Garcinia dulcis
C00037860 | Garcinia subelliptica
C00037861 | Garcinia merguensis
C00037861 | Garcinia subelliptica
C00037861 | Garcinia vilersiana
C00037862 | Garcinia subelliptica
C00037874 | Garcinia subelliptica
C00037874 | Garcinia vilersiana
C00037969 | Garcinia dulcis
C00038001 | Garcinia pseudoguttifera
C00038332 | Garcinia mangostana
C00038881 | Garcinia mangostana
C00039053 | Garcinia dulcis
C00039657 | Garcinia lucida
C00039658 | Garcinia lucida
C00040327 | Garcinia mangostana
C00040543 | Garcinia mangostana
C00040963 | Garcinia subelliptica
C00041536 | Garcinia livingstonei
C00041705 | Garcinia ablongifolia
C00041705 | Garcinia oblongifolia
C00041706 | Garcinia oblongifolia
C00041707 | Garcinia oblongifolia
C00041708 | Garcinia oblongifolia
C00042217 | Garcinia dulcis
C00042217 | Garcinia xanthochymus
C00042224 | Garcinia xanthochymus
C00042227 | Garcinia nigrolineata
C00042241 | Garcinia xanthochymus
C00042436 | Garcinia xanthochymus
C00042524 | Garcinia xanthochymus
C00042528 | Garcinia hombroniana
C00042529 | Garcinia hombroniana
C00042530 | Garcinia hombroniana
C00042530 | Garcinia speciosa
C00042531 | Garcinia hombroniana
C00042531 | Garcinia speciosa
C00042532 | Garcinia hombroniana
C00042533 | Garcinia hombroniana
C00042534 | Garcinia hombroniana
C00042535 | Garcinia mangostana
C00042536 | Garcinia subelliptica
C00042537 | Garcinia subelliptica
C00042541 | Garcinia subelliptica
C00042542 | Garcinia subelliptica
C00042543 | Garcinia subelliptica
C00042544 | Garcinia subelliptica
C00042570 | Garcinia xanthochymus
C00042642 | Garcinia xanthochymus
C00042749 | Garcinia nigrolineata
C00042767 | Garcinia nigrolineata
C00042768 | Garcinia nigrolineata
C00042769 | Garcinia nigrolineata
C00042770 | Garcinia nigrolineata
C00042770 | Garcinia oblongifolia
C00042771 | Garcinia nigrolineata
C00042772 | Garcinia nigrolineata
C00042772 | Garcinia oblongifolia
C00042967 | Garcinia scortechinii
C00042968 | Garcinia scortechinii
C00042969 | Garcinia scortechinii
C00042970 | Garcinia scortechinii
C00042971 | Garcinia scortechinii
C00042972 | Garcinia scortechinii
C00042973 | Garcinia scortechinii
C00042974 | Garcinia scortechinii
C00042975 | Garcinia scortechinii
C00042976 | Garcinia scortechinii
C00042977 | Garcinia scortechinii
C00042978 | Garcinia scortechinii
C00042979 | Garcinia scortechinii
C00042980 | Garcinia scortechinii
C00042981 | Garcinia scortechinii
C00042982 | Garcinia scortechinii
C00042983 | Garcinia scortechinii
C00042984 | Garcinia scortechinii
C00042985 | Garcinia scortechinii
C00042986 | Garcinia scortechinii
C00042987 | Garcinia scortechinii
C00043533 | Garcinia subelliptica
C00043534 | Garcinia subelliptica
C00043535 | Garcinia subelliptica
C00043536 | Garcinia subelliptica
C00043537 | Garcinia subelliptica
C00044401 | Garcinia multiflora
C00044455 | Garcinia multiflora
C00044456 | Garcinia multiflora
C00044468 | Garcinia multiflora
C00044628 | Garcinia assigu
C00044768 | Garcinia fusca
C00044769 | Garcinia fusca
C00044770 | Garcinia fusca
C00044771 | Garcinia fusca
C00044772 | Garcinia fusca
C00044773 | Garcinia fusca
C00044774 | Garcinia fusca
C00044777 | Garcinia cambogia
C00044777 | Garcinia fusca
C00044778 | Garcinia multiflora
C00044779 | Garcinia multiflora
C00044780 | Garcinia assigu
C00044823 | Garcinia assigu
C00044957 | Garcinia nigrolineata
C00044958 | Garcinia nigrolineata
C00044959 | Garcinia nigrolineata
C00044960 | Garcinia nigrolineata
C00044961 | Garcinia nigrolineata
C00044962 | Garcinia nigrolineata
C00044963 | Garcinia nigrolineata
C00044964 | Garcinia nigrolineata
C00044965 | Garcinia nigrolineata
C00044966 | Garcinia nigrolineata
C00044967 | Garcinia nigrolineata
C00045064 | Garcinia scortechinii
C00045065 | Garcinia scortechinii
C00045066 | Garcinia scortechinii
C00045676 | Garcinia atroviridis
C00045677 | Garcinia atroviridis
C00045959 | Garcinia mangostana
C00045960 | Garcinia mangostana
C00045961 | Garcinia mangostana
C00045962 | Garcinia neglecta
C00045962 | Garcinia puat
C00045963 | Garcinia neglecta
C00045963 | Garcinia puat
C00045964 | Garcinia neglecta
C00045964 | Garcinia puat
C00045965 | Garcinia neglecta
C00045965 | Garcinia puat
C00045966 | Garcinia neglecta
C00045966 | Garcinia puat
C00046121 | Garcinia mangostana
C00046278 | Garcinia parvifolia
C00046279 | Garcinia parvifolia
C00046280 | Garcinia parvifolia
C00046281 | Garcinia parvifolia
C00046282 | Garcinia parvifolia
C00046283 | Garcinia parvifolia
C00046284 | Garcinia parvifolia
C00046285 | Garcinia parvifolia
C00046286 | Garcinia parvifolia
C00046722 | Garcinia dulcis
C00046723 | Garcinia dulcis
C00046724 | Garcinia dulcis
C00046746 | Garcinia parvifolia
C00046747 | Garcinia parvifolia
C00046748 | Garcinia parvifolia
C00046749 | Garcinia parvifolia
C00046989 | Garcinia bracteata
C00046989 | Garcinia forbesii
C00046989 | Garcinia gaudichaudii
C00046989 | Garcinia hanburyi
C00046989 | Garcinia lateriflora
C00046989 | Garcinia morella
C00046990 | Garcinia bracteata
C00046990 | Garcinia forbesii
C00046990 | Garcinia gaudichaudii
C00046990 | Garcinia hanburyi
C00046990 | Garcinia lateriflora
C00046990 | Garcinia morella
C00046991 | Garcinia bracteata
C00047013 | Garcinia bracteata
C00047013 | Garcinia forbesii
C00047013 | Garcinia gaudichaudii
C00047013 | Garcinia hanburyi
C00047013 | Garcinia lateriflora
C00047013 | Garcinia morella
C00047053 | Garcinia bracteata
C00047053 | Garcinia forbesii
C00047053 | Garcinia gaudichaudii
C00047053 | Garcinia hanburyi
C00047053 | Garcinia lateriflora
C00047053 | Garcinia morella
C00047134 | Garcinia multiflora
C00047135 | Garcinia multiflora
C00047147 | Garcinia hanburyi
C00047154 | Garcinia hanburyi
C00047155 | Garcinia hanburyi
C00047157 | Garcinia hanburyi
C00047158 | Garcinia hanburyi
C00047221 | Garcinia hanburyi
C00047222 | Garcinia hanburyi
C00047234 | Garcinia hanburyi
C00047235 | Garcinia hanburyi
C00047236 | Garcinia hanburyi
C00047237 | Garcinia hanburyi
C00047238 | Garcinia hanburyi
C00047239 | Garcinia multiflora
C00047240 | Garcinia multiflora
C00047242 | Garcinia oblongifolia
C00047243 | Garcinia hanburyi
C00047248 | Garcinia hanburyi
C00047249 | Garcinia hanburyi
C00047249 | Garcinia morella
C00047308 | Garcinia hanburyi
C00047319 | Garcinia oblongifolia
C00047320 | Garcinia oblongifolia
C00047321 | Garcinia oblongifolia
C00047328 | Garcinia hanburyi
C00047820 | Garcinia mangostana
C00048250 | Garcinia griffithii
C00048268 | Garcinia cornea
C00048285 | Garcinia cornea
C00049039 | Garcinia atroviridis
C00049905 | Garcinia subelliptica
C00050625 | Garcinia linii
C00051286 | Garcinia linii
C00051287 | Garcinia linii
C00051288 | Garcinia linii
C00051459 | Garcinia mangostana
C00051693 | Garcinia pseudoguttifera
