C00010509 | Ixora chinensis
C00010582 | Ixora chinensis
C00051144 | Knoxia valerianoides
C00003072 | Lasianthus wallichii
C00003094 | Lasianthus wallichii
C00003672 | Lasianthus gardneri
C00003749 | Lasianthus gardneri
C00006639 | Lasianthus japonicus
C00019029 | Lasianthus acuminatissimus MERR.
C00019030 | Lasianthus acuminatissimus MERR.
C00019220 | Lasianthus gardneri
C00029633 | Lasianthus gardneri
C00029749 | Lasianthus acuminatissimus MERR.
C00029980 | Lasianthus wallichii
C00030089 | Lasianthus acuminatissimus MERR.
C00030093 | Lasianthus acuminatissimus MERR.
C00030640 | Lasianthus acuminatissimus MERR.
C00030641 | Lasianthus acuminatissimus MERR.
C00030642 | Lasianthus acuminatissimus MERR.
C00031721 | Lasianthus wallichii
C00051206 | Lasianthus fordii
C00051207 | Lasianthus fordii
C00051208 | Lasianthus fordii
C00001774 | Leptactina densiflora
C00005548 | Leptostigma arnothianum
C00006639 | Mitchella undulata
C00000332 | Morinda citrifolia L.
C00000587 | Morinda citrifolia
C00000743 | Morinda lucida
C00001392 | Morinda reticulata
C00002494 | Morinda citrifolia L.
C00002499 | Morinda citrifolia
C00002683 | Morinda citrifolia
C00002728 | Morinda citrifolia L
C00002785 | Morinda citrifolia
C00002785 | Morinda umbellata
C00002786 | Morinda citrifolia
C00002786 | Morinda umbellata
C00002814 | Morinda parvifolia
C00002828 | Morinda parvifolia
C00002838 | Morinda umbellata
C00002839 | Morinda parvifolia
C00002843 | Morinda parvifolia
C00002844 | Morinda angustifolia
C00002844 | Morinda citrifolia
C00002844 | Morinda tinctoria
C00002862 | Morinda citrifolia
C00002862 | Morinda tinctoria var.tomentosa.
C00002862 | Morinda umbellata
C00002864 | Morinda lucida
C00002864 | Morinda umbellata
C00003072 | Morinda citrifolia
C00003072 | Morinda coreia
C00003089 | Morinda officinalis
C00003467 | Morinda citrifolia L.
C00003558 | Morinda citrifolia L.
C00003672 | Morinda citrifolia L
C00003674 | Morinda umbellata
C00004215 | Morinda citrifolia
C00004565 | Morinda citrifolia
C00005169 | Morinda citrifolia
C00005374 | Morinda citrifolia
C00005413 | Morinda citrifolia
C00010736 | Morinda lucida
C00013676 | Morinda morindoides
C00019064 | Morinda citrifolia L.
C00019308 | Morinda citrifolia
C00019420 | Morinda citrifolia L.
C00019420 | Morinda officinalis
C00019999 | Morinda citrifolia L.
C00029329 | Morinda citrifolia L.
C00029390 | Morinda citrifolia L.
C00029477 | Morinda citrifolia L
C00029507 | Morinda citrifolia L.
C00029548 | Morinda citrifolia L.
C00029570 | Morinda citrifolia L.
C00029633 | Morinda tinctoria var.tomentosa.
C00029749 | Morinda citrifolia L.
C00029749 | Morinda coreia
C00029749 | Morinda elliptica
C00029789 | Morinda citrifolia L.
C00029978 | Morinda citrifolia L.
C00029993 | Morinda citrifolia L.
C00030089 | Morinda citrifolia
C00030092 | Morinda citrifolia L.
C00030092 | Morinda coreia
C00030093 | Morinda citrifolia L.
C00030459 | Morinda citrifolia L.
C00031228 | Morinda citrifolia L.
C00031233 | Morinda citrifolia L.
C00031233 | Morinda umbellata
C00031346 | Morinda coreia
C00031525 | Morinda citrifolia
C00031546 | Morinda citrifolia
C00031591 | Morinda citrifolia L.
C00031592 | Morinda citrifolia
C00031600 | Morinda citrifolia L.
C00031601 | Morinda citrifolia L.
C00031679 | Morinda citrifolia L.
C00031680 | Morinda citrifolia L.
C00031680 | Morinda coreia
C00031680 | Morinda elliptica
C00032029 | Morinda citrifolia L
C00032030 | Morinda citrifolia L
C00032032 | Morinda citrifolia L
C00032033 | Morinda citrifolia L
C00032078 | Morinda citrifolia L.
C00032078 | Morinda lucida
C00032078 | Morinda tinctoria
C00032541 | Morinda citrifolia
C00032541 | Morinda coreia
C00032541 | Morinda elliptica
C00032702 | Morinda citrifolia
C00033228 | Morinda umbellata
C00033656 | Morinda citrifolia L
C00035974 | Morinda citrifolia L.
C00036635 | Morinda coreia
C00038026 | Morinda coreia
C00038191 | Morinda citrifolia
C00038228 | Morinda citrifolia
C00039452 | Morinda citrifolia
C00039793 | Morinda chinensis
C00039794 | Morinda chinensis
C00039795 | Morinda citrifolia
C00039796 | Morinda citrifolia
C00040332 | Morinda citrifolia
C00040332 | Morinda lucida
C00040332 | Morinda tinctoria var.tomentosa.
C00040332 | Morinda umbellata
C00042063 | Morinda citrifolia L
C00042395 | Morinda citrifolia
C00042396 | Morinda citrifolia
C00042440 | Morinda citrifolia
C00042457 | Morinda citrifolia
C00042457 | Morinda morindoides
C00042470 | Morinda citrifolia
C00042736 | Morinda citrifolia
C00044492 | Morinda morindoides
C00044697 | Morinda morindoides
C00044748 | Morinda morindoides
C00044749 | Morinda morindoides
C00044776 | Morinda morindoides
C00044927 | Morinda morindoides
C00050645 | Morinda umbellata
C00051640 | Morinda officinalis
C00003672 | Mussaenda macrophylla
C00003674 | Mussaenda pubescens
C00008045 | Mussaenda hirsutissima
C00008046 | Mussaenda hirsutissima
C00008049 | Mussaenda hirsutissima
C00010630 | Mussaenda arvense
C00010630 | Mussaenda parviflora
C00010630 | Mussaenda shikokiana
C00010687 | Mussaenda parviflora
C00010687 | Mussaenda shikokiana
C00029724 | Mussaenda pubescens
C00001906 | Oldenlandia biflora
C00003072 | Oldenlandia corymbosa
C00003072 | Oldenlandia diffusa
C00003558 | Oldenlandia diffusa
C00003674 | Oldenlandia diffusa
C00005157 | Oldenlandia diffusa
C00005413 | Oldenlandia corymbosa
C00019064 | Oldenlandia diffusa
C00029633 | Oldenlandia diffusa
C00029749 | Oldenlandia corymbosa
C00030092 | Oldenlandia corymbosa
C00030094 | Oldenlandia corymbosa
C00050081 | Oldenlandia diffusa
C00001434 | Ophiorrhiza pumila
C00001736 | Ophiorrhiza japonica Bl.
C00001736 | Ophiorrhiza kuroiwai
C00001736 | Ophiorrhiza liukiuensis
C00002145 | Ophiorrhiza filistipula
