C00036174 | Eriope macrostachya
C00036174 | Eriope salvifolia
C00036175 | Eriope macrostachya
C00036175 | Eriope salvifolia
C00004242 | Galeopsis ladanum
C00010480 | Galeopsis tetrahit
C00010602 | Galeopsis pubescens
C00010602 | Galeopsis tetrahit
C00022260 | Galeopsis angustifolia
C00022395 | Galeopsis reuteri
C00023369 | Galeopsis angustifolia
C00023370 | Galeopsis angustifolia
C00000810 | Glechoma hederacea
C00003292 | Glechoma hederacea
C00004144 | Glechoma hederacea L.
C00006815 | Glechoma hederacea
C00006827 | Glechoma hederacea
C00006886 | Glechoma hederacea
C00010946 | Glechoma hederacea
C00012398 | Glechoma hederacea
C00029633 | Glechoma lungituba
C00029976 | Glechoma hederacea L.
C00036174 | Glechoma hederacea
C00036175 | Glechoma hederacea
C00037338 | Glechoma longituba
C00051532 | Glechoma longituba
C00000698 | Gmelina arborea
C00002631 | Gmelina vitiensis
C00003075 | Gmelina philippensis
C00010523 | Gmelina philippensis
C00010556 | Gmelina philippensis
C00010564 | Gmelina philippensis
C00010653 | Gmelina arborea
C00020100 | Gmelina arborea
C00029601 | Gmelina philippensis
C00034914 | Gmelina arborea
C00037601 | Gmelina arborea
C00049961 | Gmelina arborea
C00049961 | Gmelina philippensis
C00000827 | Hedeoma pulegioides
C00010902 | Hedeoma pulegioides
C00010904 | Hedeoma pulegioides
C00010948 | Hedeoma pulegioides
C00004229 | Holmskioldia sanguinea
C00006625 | Holmskioldia sanguinea
C00006884 | Horminum pyrenaicum
C00006886 | Horminum pyrenaicum
C00003795 | Hoslundia opposita
C00003994 | Hoslundia opposita
C00004054 | Hoslundia opposita
C00004069 | Hoslundia opposita
C00004108 | Hoslundia opposita
C00006415 | Hoslundia opposita
C00006416 | Hoslundia opposita
C00013462 | Hoslundia opposita
C00036174 | Hypenia brachystachys
C00036175 | Hypenia brachystachys
C00000601 | Hyptis salzmanii
C00000601 | Hyptis tomentosa
C00000610 | Hyptis verticillata
C00001016 | Hyptis albida
C00001075 | Hyptis albida
C00002594 | Hyptis verticillata
C00002595 | Hyptis verticillata
C00002597 | Hyptis tomentosa
C00002598 | Hyptis verticillata
C00002608 | Hyptis salzmanii
C00003883 | Hyptis tomentosa
C00004643 | Hyptis brevipes
C00004647 | Hyptis brevipes
C00006774 | Hyptis eriocephala
C00006775 | Hyptis eriocephala
C00006824 | Hyptis eriocephala
C00006953 | Hyptis salzmanii
C00007202 | Hyptis verticillata
C00007208 | Hyptis verticillata
C00007210 | Hyptis verticillata
C00019064 | Hyptis capitata
C00019308 | Hyptis brevipes
C00021239 | Hyptis verticillata
C00023343 | Hyptis fasciculata
C00026394 | Hyptis suaveolens
C00029633 | Hyptis brevipes
C00030742 | Hyptis brevipes
C00031506 | Hyptis fasciculata
C00036174 | Hyptis eriocephala
C00036174 | Hyptis lanceolata
C00036174 | Hyptis ramosa
C00036174 | Hyptis umbrassa
C00036174 | Hyptis urticoides
C00036175 | Hyptis eriocephala
C00036175 | Hyptis lanceolata
C00036175 | Hyptis ramosa
C00036175 | Hyptis umbrassa
C00036175 | Hyptis urticoides
C00036189 | Hyptis pectinata
C00036190 | Hyptis pectinata
C00036191 | Hyptis pectinata
C00036192 | Hyptis pectinata
C00036193 | Hyptis pectinata
C00036194 | Hyptis pectinata
C00036195 | Hyptis pectinata
C00036326 | Hyptis verticillata
C00036333 | Hyptis verticillata
C00036334 | Hyptis verticillata
C00036763 | Hyptis verticillata
C00047403 | Hyptis brevipes
C00047404 | Hyptis brevipes
C00047405 | Hyptis brevipes
C00047406 | Hyptis brevipes
C00047407 | Hyptis brevipes
C00047408 | Hyptis brevipes
C00000806 | Hyssopus officinalis
C00000808 | Hyssopus officinalis
C00000970 | Hyssopus spp.
C00006884 | Hyssopus officinalis
C00006888 | Hyssopus officinalis
C00006910 | Hyssopus officinalis
C00006912 | Hyssopus officinalis
C00011031 | Hyssopus officinalis
C00013595 | Hyssopus officinalis
C00036174 | Hyssopus officinalis
C00036175 | Hyssopus officinalis
C00001016 | Isodon flavidus
C00001078 | Isodon rubescens var. lushanensis
C00001110 | Isodon oresbia
C00001110 | Isodon oresbius
C00002051 | Isodon longiflora
C00002609 | Isodon flavidus
C00003424 | Isodon japonica
C00003424 | Isodon japonicus Hara.
C00003424 | Isodon oresbius
C00003424 | Isodon sculponeatus
C00003424 | Isodon trichocarpus
C00003438 | Isodon excisus
C00003438 | Isodon inflexa
C00003438 | Isodon inflexus
C00003438 | Isodon lungshengensis
C00003442 | Isodon pharicus
C00003442 | Isodon shikokianus var. intermedius
C00003442 | Isodon shikokuana var.intermedius
C00003443 | Isodon japonica
C00003443 | Isodon japonicus
C00003443 | Isodon rubescens var. lushanensis
C00003443 | Isodon sinuolata
C00003470 | Isodon glutinosa
C00003481 | Isodon shikokiana var.occidentalis
C00003481 | Isodon shikokianus var. intermedius
C00003672 | Isodon japonica
C00003886 | Isodon rubescens var.lushiensis
C00003898 | Isodon leucophyllus
C00003927 | Isodon rubescens var.lushiensis
C00003933 | Isodon rubescens var.lushiensis
C00005373 | Isodon leucophyllus
C00005374 | Isodon rubescens var.lushiensis
C00013708 | Isodon erianderianus
C00014119 | Isodon oresbius
C00018707 | Isodon japonica
C00018707 | Isodon trichocarpus
C00019064 | Isodon japonica
C00019064 | Isodon phyllostachys
C00019308 | Isodon phyllostachys
C00021949 | Isodon parvifolia
C00029599 | Isodon parvifolius
C00029633 | Isodon oresbia
C00029633 | Isodon ternifolius
C00030178 | Isodon parvifolius
C00031075 | Isodon japonica
C00031075 | Isodon japonicus Hara.
C00031075 | Isodon rubescens var. lushanensis
C00031075 | Isodon xerophilus
C00031121 | Isodon japonica
C00031121 | Isodon rubescens var. lushanensis
C00031229 | Isodon parvifolius
C00031229 | Isodon rubescens var.rubescens
C00031230 | Isodon parvifolius
C00031230 | Isodon rubescens var.rubescens
C00031231 | Isodon parvifolius
C00031231 | Isodon rubescens var.rubescens
C00031761 | Isodon rubescens var. lushanensis
C00031761 | Isodon sculponeatus
C00031761 | Isodon trichocarpus
C00031769 | Isodon rubescens var. lushanensis
C00031769 | Isodon sculponeatus
C00031813 | Isodon angustifolius var. glabrescens
C00031813 | Isodon rubescens var. rubescens
C00031885 | Isodon inflexa
C00031885 | Isodon rubescens var. lushanensis
C00031897 | Isodon japonica
C00031897 | Isodon rubescens var. lushanensis
C00031959 | Isodon lasiocarpa
C00031959 | Isodon lasiocarpus
C00031959 | Isodon parvifolius
C00031959 | Isodon rubescens var. lushanensis
C00031959 | Isodon sinuolata
C00031987 | Isodon parvifolius
C00031987 | Isodon rubescens var. lushanensis
C00031988 | Isodon rubescens var. lushanensis
C00031989 | Isodon rubescens var. lushanensis
C00031990 | Isodon rubescens var. lushanensis
C00032005 | Isodon melissoides
C00032006 | Isodon melissoides
C00032007 | Isodon melissoides
C00032008 | Isodon melissoides
C00032521 | Isodon rubescens var. rubescens
C00032522 | Isodon melissoides
C00032522 | Isodon rubescens var. rubescens
C00032523 | Isodon rubescens var. rubescens
C00032524 | Isodon rubescens var. rubescens
C00032525 | Isodon rubescens var. rubescens
C00032526 | Isodon rubescens var. rubescens
C00032527 | Isodon rubescens var. rubescens
C00033270 | Isodon japonica
C00033270 | Isodon japonicus Hara.
C00033270 | Isodon lasiocarpus
C00033270 | Isodon rubescens var.rubescens
C00033270 | Isodon rugosus
C00033270 | Isodon trichocarpa
C00033270 | Isodon trichocarpus
C00034653 | Isodon rubescens var.rubescens
C00034653 | Isodon ternifolia
C00034657 | Isodon rubescens var.rubescens
C00034658 | Isodon rubescens var.rubescens
C00034946 | Isodon phyllostachys
C00034946 | Isodon scoparius
C00034947 | Isodon phyllostachys
C00034948 | Isodon phyllostachys
C00034948 | Isodon scoparius
C00034949 | Isodon phyllostachys
C00034949 | Isodon scoparius
C00034950 | Isodon phyllostachys
C00034950 | Isodon scoparius
C00034956 | Isodon inflexa
C00034956 | Isodon phyllostachys
C00034956 | Isodon scoparius
C00034957 | Isodon kunmingensis
C00034957 | Isodon phyllostachys
C00034957 | Isodon scoparius
C00034958 | Isodon laxathyrsa
C00034958 | Isodon phyllostachys
C00034958 | Isodon scoparius
C00034959 | Isodon laxathyrsa
C00034959 | Isodon phyllostachys
C00034959 | Isodon scoparius
C00035517 | Isodon oresbius
C00035517 | Isodon sinuolata
C00035598 | Isodon oresbius
C00035598 | Isodon parvifolius
C00035598 | Isodon sinuolata
C00035600 | Isodon oresbius
C00035601 | Isodon oresbia
C00035601 | Isodon oresbius
C00035601 | Isodon sinuolata
C00035601 | Isodon trichocarpa
C00035709 | Isodon oresbia
C00035709 | Isodon oresbius
C00035710 | Isodon oresbia
C00035710 | Isodon oresbius
